Manv	Tuoi	Gioitinh	Thunhap	Chitieu
NV001	45	Nam	15000	12000
NV002	33	Nu	10000	7000
NV003	47	Nu	8000	10000
NV004	55	Nam	20000	19000
NV005	34	Nu	31000	21000
NV006	29	Nu	17000	12000
NV007	33	Nam	19000	8000
NV008	46	Nam	22000	13000
NV009	37	Nam	29000	20000
NV010	43	Nu	6000	6000
NV011	55	Nu	11000	10000
NV012	38	Nam	14000	12000
NV013	46	Nam	9000	7000
NV014	56	Nam	5000	6000
NV015	32	Nu	36000	25000
NV016	27	Nam	22000	16000
NV017	51	Nu	21000	10000
NV018	48	Nam	19000	13000
NV019	28	Nam	27000	17000
NV020	34	Nam	10000	5000
